id,name,pop2018,fips
0500000US12085,"Martin County, Florida",160912,12085
0500000US12086,"Miami-Dade County, Florida",2761581,12086
0500000US12087,"Monroe County, Florida",75027,12087
0500000US12089,"Nassau County, Florida",85832,12089
0500000US12091,"Okaloosa County, Florida",207269,12091
0500000US12095,"Orange County, Florida",1380645,12095
0500000US12097,"Osceola County, Florida",367990,12097
0500000US12099,"Palm Beach County, Florida",1485941,12099
0500000US12101,"Pasco County, Florida",539630,12101
0500000US12103,"Pinellas County, Florida",975280,12103
0500000US12105,"Polk County, Florida",708009,12105
0500000US12107,"Putnam County, Florida",74163,12107
0500000US12109,"St. Johns County, Florida",254261,12109
0500000US12111,"St. Lucie County, Florida",321128,12111
0500000US12113,"Santa Rosa County, Florida",179349,12113
0500000US12115,"Sarasota County, Florida",426718,12115
0500000US12117,"Seminole County, Florida",467832,12117
0500000US12119,"Sumter County, Florida",128754,12119
0500000US12127,"Volusia County, Florida",547538,12127
0500000US12131,"Walton County, Florida",71375,12131
0500000US13013,"Barrow County, Georgia",80809,13013
0500000US13015,"Bartow County, Georgia",106408,13015
0500000US13021,"Bibb County, Georgia",153095,13021
0500000US13031,"Bulloch County, Georgia",77296,13031
0500000US13045,"Carroll County, Georgia",118121,13045
0500000US13047,"Catoosa County, Georgia",67420,13047
0500000US13051,"Chatham County, Georgia",289195,13051
0500000US13057,"Cherokee County, Georgia",254149,13057
0500000US13059,"Clarke County, Georgia",127330,13059
0500000US13063,"Clayton County, Georgia",289615,13063
0500000US13067,"Cobb County, Georgia",756865,13067
0500000US13073,"Columbia County, Georgia",154291,13073
0500000US13077,"Coweta County, Georgia",145864,13077
0500000US13089,"DeKalb County, Georgia",756558,13089
0500000US13095,"Dougherty County, Georgia",91243,13095
0500000US13097,"Douglas County, Georgia",145331,13097
0500000US13113,"Fayette County, Georgia",113459,13113
0500000US13115,"Floyd County, Georgia",97927,13115
0500000US13117,"Forsyth County, Georgia",236612,13117
0500000US13121,"Fulton County, Georgia",1050114,13121
0500000US13127,"Glynn County, Georgia",85219,13127
0500000US13135,"Gwinnett County, Georgia",927781,13135
0500000US13139,"Hall County, Georgia",202148,13139
0500000US13151,"Henry County, Georgia",230220,13151
0500000US13153,"Houston County, Georgia",155469,13153
0500000US13157,"Jackson County, Georgia",70422,13157
0500000US13185,"Lowndes County, Georgia",116321,13185
0500000US13215,"Muscogee County, Georgia",194160,13215
