name,fips,state,checked,03/9/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,totalcases
Knox,39083,Ohio,2020-06-20T02:12:24.389Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,5,6,6,7,7,7,7,8,9,9,10,10,10,10,11,11,11,11,13,13,13,14,15,15,15,15,16,16,16,18,18,19,19,20,20,20,20,20,20,20,20,20,21,21,22,22,23,23,23,23,23,23,23,23,23,23,24,25,25,25,25,25,25,25,26,28,29,29,29,31,31,31,31,32,33,33,33,33,33
Lake,39085,Ohio,2020-06-20T02:12:24.391Z,0,0,0,0,0,0,0,0,1,2,2,3,4,6,8,11,14,19,27,30,35,43,44,48,62,66,76,79,87,92,99,106,108,112,114,117,121,124,127,130,131,133,135,139,145,148,157,157,158,160,165,168,170,170,172,173,176,180,187,192,194,197,199,203,206,210,214,219,224,226,231,235,246,252,263,267,268,282,287,290,302,306,308,309,309,318,320,325,327,331,334,337,337,344,344,347,347,348,350,354,356,358,358
Lawrence,39087,Ohio,2020-06-20T02:12:24.417Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,4,7,8,10,9,13,15,15,15,16,17,17,17,19,20,20,21,21,23,22,22,23,23,24,24,24,24,24,25,25,24,24,24,24,24,24,25,25,25,26,27,27,27,27,27,27,28,27,28,28,28,28,28,28,29,30,30,30,30,30,30,31,30,30,30,30,30,30,32,32,32,32,34,35,37,40,42,42
Licking,39089,Ohio,2020-06-20T02:12:24.421Z,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,10,14,15,21,25,24,30,41,50,55,57,61,64,78,79,80,83,86,86,88,92,94,94,102,100,102,103,104,108,108,110,114,115,118,121,122,125,130,133,137,146,150,162,162,164,172,175,180,182,184,185,190,190,197,199,200,201,204,207,214,218,222,230,243,248,249,258,265,267,271,275,277,280,284,285,297,297,312,312,314,317,321,324,329,329
Logan,39091,Ohio,2020-06-20T02:12:24.423Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,5,5,5,5,5,7,7,7,8,8,8,8,12,13,13,13,13,14,15,18,18,18,18,18,18,18,19,19,19,19,19,23,23,23,23,23,23,23,23,24,24,23,24,24,25,32,33,38,37,37,37,37,37,37,38,39,39,40,40,43,43,43,44,46,46,46,47,47,48,48,48,48,48,48,48,48
Lorain,39093,Ohio,2020-06-20T02:12:24.431Z,0,0,0,0,0,1,1,3,4,6,6,10,14,19,24,30,37,44,56,65,74,78,82,85,90,95,105,110,117,116,136,140,150,161,176,184,191,203,221,245,291,294,303,320,332,344,377,377,395,406,418,452,471,480,490,503,510,518,528,537,543,548,554,560,569,576,585,589,595,605,610,620,624,626,637,641,648,653,659,667,672,678,687,692,702,709,722,730,737,747,755,757,762,779,779,794,794,804,807,814,822,825,825
Lucas,39095,Ohio,2020-06-20T02:12:24.470Z,0,0,0,0,0,0,0,1,1,1,1,2,4,5,9,11,23,35,48,67,94,114,133,171,206,233,272,302,321,347,371,403,443,490,503,514,540,596,644,682,724,789,823,853,878,936,1104,1104,1130,1166,1208,1251,1297,1331,1376,1429,1478,1527,1583,1665,1710,1757,1806,1836,1858,1883,1921,1945,1960,1986,1999,2021,2056,2071,2087,2107,2126,2152,2162,2178,2202,2241,2267,2277,2282,2296,2313,2329,2340,2348,2354,2372,2390,2411,2411,2428,2428,2457,2460,2462,2468,2478,2478
Madison,39097,Ohio,2020-06-20T02:12:24.473Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,5,7,9,11,12,15,17,17,18,20,21,23,23,23,24,24,23,29,27,30,30,30,30,30,38,50,50,52,56,60,63,64,64,67,71,73,73,73,78,81,83,84,87,88,93,95,98,98,99,100,102,105,128,132,133,134,141,144,148,152,152,156,155,157,162,163,164,164,166,167,167,167,168,168,168,168,168,168,169,170,172,172
Mahoning,39099,Ohio,2020-06-20T02:12:24.499Z,0,0,0,0,0,0,0,0,1,3,5,7,14,18,23,28,42,51,68,80,84,117,153,177,192,203,250,261,272,300,305,334,358,375,417,443,469,486,512,547,572,589,604,621,635,666,737,737,764,784,804,828,853,883,937,961,998,1024,1044,1087,1104,1119,1144,1150,1163,1174,1185,1199,1212,1226,1247,1252,1277,1295,1317,1334,1341,1347,1367,1397,1405,1428,1431,1438,1456,1463,1466,1486,1502,1511,1516,1522,1529,1576,1576,1595,1595,1600,1607,1606,1619,1632,1632
Marion,39101,Ohio,2020-06-20T02:12:24.502Z,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,5,5,6,7,8,9,10,11,12,19,25,28,32,40,42,49,53,91,110,164,276,428,983,1834,2073,2132,2137,2161,2178,2178,2188,2191,2196,2196,2276,2294,2329,2332,2335,2347,2350,2366,2381,2387,2404,2412,2419,2431,2436,2449,2500,2513,2524,2540,2557,2581,2608,2617,2619,2623,2628,2642,2657,2660,2666,2668,2674,2679,2686,2688,2689,2691,2694,2695,2697,2701,2701,2706,2706,2706,2712,2712,2713,2715,2715
Medina,39103,Ohio,2020-06-20T02:12:24.506Z,0,0,0,0,0,0,0,2,3,4,5,6,9,10,15,15,22,24,32,37,45,48,55,59,68,72,74,78,83,88,94,98,103,107,110,112,116,122,126,130,132,135,139,142,143,148,160,160,159,162,165,167,171,172,172,175,177,184,185,190,193,194,195,203,205,207,210,212,216,224,229,237,245,258,274,288,302,307,310,313,328,337,337,346,356,366,376,376,382,387,388,390,394,397,397,397,397,398,400,402,404,406,406
Meigs,39105,Ohio,2020-06-20T02:12:24.513Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,9,9,9
Mercer,39107,Ohio,2020-06-20T02:12:24.533Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,4,5,6,6,7,8,8,11,12,12,12,13,13,13,13,13,13,13,13,13,13,14,16,18,18,18,18,18,21,26,28,29,33,38,42,42,62,66,67,84,86,90,109,115,121,133,141,148,162,163,170,178,184,190,200,201,201,203,210,211,216,217,220,223,227,230,233,237,237,239,244,244,245,245,246,247,253,253,255,255
Miami,39109,Ohio,2020-06-20T02:12:24.536Z,0,0,0,0,0,0,0,0,0,0,1,1,11,13,17,19,19,20,32,38,43,46,52,60,62,64,69,76,90,101,107,110,113,116,117,121,122,125,127,129,129,129,131,133,134,134,135,135,136,136,138,139,142,143,143,144,144,144,145,176,244,268,313,314,316,317,326,327,332,332,332,337,337,337,346,348,348,351,351,352,355,355,357,358,361,362,366,367,373,374,375,376,379,382,382,386,386,388,388,392,393,397,397
Monroe,39111,Ohio,2020-06-20T02:12:24.539Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,4,4,4,5,8,8,10,19,22,25,28,53,53,55,56,56,59,65,71,71,71,71,73,74,75,77,78,78,79,79,79,80,80,80,80,81,81,83,83,83,82,82,82,82,82,82,82,82
Montgomery,39113,Ohio,2020-06-20T02:12:24.541Z,0,0,0,0,0,0,0,0,0,0,1,1,1,5,7,10,14,14,19,20,25,31,37,41,49,57,69,84,109,132,147,156,161,175,198,201,205,211,213,222,229,232,235,237,241,250,260,260,262,266,279,285,293,311,316,320,328,332,345,356,369,390,422,433,442,468,489,500,504,520,531,539,554,561,578,593,605,609,617,637,651,656,663,684,688,695,720,734,766,791,817,835,847,901,901,969,969,992,1026,1058,1118,1174,1174
Morgan,39115,Ohio,2020-06-20T02:12:24.565Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Morrow,39117,Ohio,2020-06-20T02:12:24.589Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,6,6,6,8,8,8,9,10,14,14,16,19,20,23,24,25,25,34,34,34,36,41,42,45,75,75,75,83,83,83,84,84,84,87,87,91,93,97,97,97,98,101,104,104,103,104,104,104,104,104,104,105,107,107,107,107,107,108,108,108,108,108,108,108,110,110,110,110,110,110,110,110,110,110
Muskingum,39119,Ohio,2020-06-20T02:12:24.593Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,4,4,5,6,6,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,11,11,11,10,10,12,15,17,17,18,21,22,23,24,25,25,27,31,32,31,31,34,35,36,38,40,42,43,44,45,45,45,46,48,50,50,52,52,52,52,54,56,56,56,57,57,55,56,56,57,57,58,58,60,61,61,61
Noble,39121,Ohio,2020-06-20T02:12:24.619Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,6,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Ottawa,39123,Ohio,2020-06-20T02:12:24.622Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,5,5,5,5,5,6,8,9,10,10,11,11,12,17,21,27,27,29,32,32,34,37,37,37,38,37,38,40,40,40,40,44,44,44,45,46,46,47,49,52,56,57,65,65,66,64,64,66,66,87,90,91,92,94,93,95,99,99,103,103,102,104,107,109,109,109,112,111,114,114,117,117,118,118,118,118,118,118
Paulding,39125,Ohio,2020-06-20T02:12:24.630Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5,5,5,5,5,5,5,5,5,5,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,17,17,17,18,18
Perry,39127,Ohio,2020-06-20T02:12:24.651Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4,4,6,6,7,8,8,8,8,8,8,8,9,9,9,10,11,11,13,13,12,13,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,16,15,16,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,21,21,22,22,23,23,23,24,24,25,25,25
Pickaway,39129,Ohio,2020-06-20T02:12:24.653Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,5,12,12,11,13,20,29,27,31,35,39,44,51,58,83,97,172,196,253,302,477,1246,1635,1658,1661,1658,1658,1698,1706,1722,1732,1731,1724,1729,1828,1831,1836,1841,1842,1844,1845,1933,1955,1958,1990,2005,2011,2018,2021,2025,2029,2031,2033,2038,2042,2043,2046,2046,2048,2050,2050,2074,2086,2092,2095,2096,2099,2099,2106,2108,2109,2110,2115,2115,2125,2125,2126,2125,2128,2131,2135,2135
Pike,39131,Ohio,2020-06-20T02:12:24.665Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,12,12,12
Portage,39133,Ohio,2020-06-20T02:12:24.714Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,8,13,19,27,32,38,44,59,65,74,84,94,101,108,116,124,134,139,144,146,158,162,166,168,176,180,186,197,206,220,220,221,226,230,236,237,243,247,251,254,262,265,272,274,276,280,275,280,284,289,290,292,296,297,298,303,308,309,310,314,316,313,318,322,323,325,327,329,332,333,335,338,339,341,344,346,352,352,353,353,353,354,359,364,366,366
Preble,39135,Ohio,2020-06-20T02:12:24.739Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,5,5,7,8,9,10,11,15,16,17,20,20,21,21,21,24,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,29,30,30,30,30,30,30,31,30,30,31,33,35,35,37,39,39,39,39,39,39,39,39,39,40,41,41,43,43,44,44,45,46,49,49
Putnam,39137,Ohio,2020-06-20T02:12:24.747Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,4,13,14,18,21,22,24,47,54,54,54,63,64,67,68,69,69,71,71,71,73,75,76,76,76,77,77,77,80,80,82,84,84,84,84,84,85,85,87,87,87,88,90,91,92,93,93,95,95,95,96,97,97,98,99,100,100,101,101,101,101,101,102,103,103
Richland,39139,Ohio,2020-06-20T02:12:24.767Z,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,5,5,5,6,8,8,10,14,17,19,20,25,27,28,34,36,43,43,44,48,50,60,65,64,66,68,70,78,78,76,80,80,81,85,89,90,90,91,92,94,103,113,118,121,130,135,143,150,155,159,161,165,166,170,178,179,183,186,187,189,193,197,199,200,201,205,209,216,222,223,231,232,232,234,242,242,249,249,252,253,257,260,266,266
Ross,39141,Ohio,2020-06-20T02:12:24.787Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,6,9,10,10,12,13,17,19,20,21,26,28,33,36,29,30,30,30,35,35,36,36,37,39,39,40,41,41,42,42,44,49,48,51,53,55,55,56,58,58,58,58,59,60,60,61,62,63,66,66,67,67,68,71,71,72,73,73,73,73,73,74,74,75,77,79,79,79,79,79,81,81,82,82,82
Sandusky,39143,Ohio,2020-06-20T02:12:24.789Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,5,5,5,5,5,5,5,5,7,7,10,11,12,13,13,14,16,17,18,17,17,17,20,20,20,19,19,23,27,28,32,34,36,41,40,41,47,48,49,52,53,53,54,56,56,56,57,62,63,63,63,65,65,68,70,70,72,73,73,79,81,82,85,85,91,94,95,97,98,102,102,102,103,103,104,104,104,106,109,109
Scioto,39145,Ohio,2020-06-20T02:12:24.802Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,4,4,5,5,7,9,6,6,6,6,6,6,6,6,8,10,11,11,12,12,13,13,15,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,18,17,17,17,18,18,18,19,19,19,19,19,21,21,21,21,21,21,21,21
Seneca,39147,Ohio,2020-06-20T02:12:24.820Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,4,5,6,6,6,6,7,8,8,9,9,10,11,11,11,11,12,13,11,11,11,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,17,18,19,19,19,20,20,20,20,20,21,24,26,26,27,27,27,28,28,29,29,29,29,29,29,30,30,30,30
Shelby,39149,Ohio,2020-06-20T02:12:24.823Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,6,6,7,10,12,17,18,19,21,24,25,27,27,27,27,28,28,28,29,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,32,33,33,34,35,34,34,34,34,35,35,36,37,40,41,40,40,40,40,41,43,43,43,46,46,47,47,49,49,49,49,49,49,49,49,49,49,50,50,51,51
Stark,39151,Ohio,2020-06-20T02:12:24.833Z,0,0,1,1,2,1,3,3,3,3,5,6,8,10,12,13,12,16,22,25,29,44,45,52,67,79,92,95,109,110,114,120,125,133,154,167,171,176,204,210,221,224,237,251,266,290,310,310,312,324,333,347,363,379,398,405,414,427,450,464,479,500,511,515,526,538,548,553,558,595,610,620,642,655,670,682,685,697,700,705,716,723,727,736,743,752,782,803,813,817,821,827,839,847,847,863,863,870,881,891,908,918,918
Summit,39153,Ohio,2020-06-20T02:12:24.879Z,0,0,0,0,1,1,1,2,4,4,6,10,15,23,28,36,43,50,65,79,99,118,131,144,155,165,184,184,189,199,211,221,235,243,257,262,273,294,310,323,340,350,370,385,415,447,485,485,500,542,584,608,639,679,701,716,751,787,831,867,880,892,915,930,946,976,989,995,1004,1028,1042,1077,1141,1183,1204,1220,1236,1277,1315,1335,1380,1390,1420,1453,1475,1487,1505,1529,1540,1548,1571,1592,1621,1638,1638,1666,1666,1675,1706,1712,1722,1735,1735
Trumbull,39155,Ohio,2020-06-20T02:12:24.905Z,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,4,9,12,17,27,36,42,50,58,63,72,90,89,102,110,126,132,149,155,168,174,187,199,203,213,231,237,249,257,261,272,293,293,295,299,305,308,318,324,331,347,356,363,371,392,404,406,408,413,420,432,440,447,450,461,469,478,499,507,514,525,529,540,544,551,562,569,573,582,584,584,594,600,607,612,616,618,620,642,642,656,656,658,665,675,682,693,693
Tuscarawas,39157,Ohio,2020-06-20T02:12:24.918Z,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,5,5,7,9,14,16,17,19,20,23,23,26,26,26,26,27,28,28,28,29,31,31,31,32,34,38,42,50,50,57,59,60,74,94,109,118,126,133,144,153,168,196,211,216,223,229,235,246,258,264,269,272,281,293,301,306,312,318,321,326,337,339,342,343,349,352,360,367,371,376,378,381,382,389,397,397,399,399,405,406,405,408,409,409
Union,39159,Ohio,2020-06-20T02:12:24.937Z,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,4,4,4,4,5,7,8,8,8,8,9,10,10,10,11,11,11,11,12,12,12,13,16,16,16,18,18,18,18,19,22,22,22,24,25,26,26,28,28,28,28,28,28,28,28,30,31,35,37,36,37,40,40,42,43,45,46,46,49,51,51,52,52,52,55,55,56,58,58,58,61,61,62,62,62,62,62,62,63,67,69,69
Van Wert,39161,Ohio,2020-06-20T02:12:24.968Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,10,10,13,13,14,14,14,14,15,15
Vinton,39163,Ohio,2020-06-20T02:12:24.973Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,6,6,6,6,8,8,9,10,11,11,12,15,15,15,16,16,16,16,16,16,17,18,19,19,19,19,19,19,19,21,21,21,21,21,21,21,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22
Warren,39165,Ohio,2020-06-20T02:12:24.981Z,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,7,8,10,11,16,20,20,21,23,26,31,35,36,37,45,46,53,72,74,75,76,78,85,89,93,112,112,116,117,118,124,133,133,124,131,134,146,160,166,168,172,178,179,188,191,202,206,209,213,237,252,259,269,275,283,285,292,309,310,319,328,336,340,344,351,359,366,373,378,383,390,398,407,413,419,427,443,461,497,497,512,512,517,525,532,549,559,559
Washington,39167,Ohio,2020-06-20T02:12:25.006Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,4,4,6,8,15,27,30,34,35,36,39,41,44,47,53,55,57,65,65,69,73,75,94,94,94,95,95,98,99,100,102,103,105,106,111,111,113,114,114,114,115,116,116,116,116,116,116,116,116,116,116,117,117,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,117,117,118,118,118,118,118,119,119,119
Wayne,39169,Ohio,2020-06-20T02:12:25.013Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,9,11,11,18,25,26,26,29,30,30,37,40,50,54,51,56,66,72,77,79,81,82,85,88,104,104,114,119,125,128,143,149,153,161,166,173,177,183,188,186,186,190,192,194,198,200,201,202,206,209,211,242,248,248,250,252,256,260,266,272,274,277,281,288,293,296,296,298,300,301,302,304,304,306,306,308,311,313,316,321,321
Williams,39171,Ohio,2020-06-20T02:12:25.033Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,3,6,6,6,7,8,8,8,16,23,29,29,29,31,33,34,36,36,36,41,42,42,43,44,44,44,44,44,44,44,46,47,47,47,47,48,47,48,51,51,52,52,52,51,54,54,55,55,55,56,56,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59
Wood,39173,Ohio,2020-06-20T02:12:25.053Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,8,10,12,13,15,15,18,20,23,29,34,38,41,42,49,52,54,54,61,64,67,73,80,84,84,92,98,105,133,133,139,145,154,164,174,183,187,193,203,210,212,220,222,224,225,229,229,233,237,241,249,257,257,254,259,261,269,274,276,277,280,282,285,287,294,295,300,303,304,306,308,307,308,308,312,316,316,321,321,321,329,329,331,332,332
Wyandot,39175,Ohio,2020-06-20T02:12:25.065Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,5,5,5,5,5,8,9,10,11,12,13,14,14,16,17,17,17,20,21,21,24,24,24,24,25,24,24,24,24,24,24,24,25,26,27,26,26,26,27,27,29,29,29,30,31,33,33,33,36,36,36,36,37,38,39,40,41,42,45,44,48,48,48,48,48,48,48,48,48,48,48,48,49,50,50,55,55
