name,fips,state,checked,03/9/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,totalcases
Champaign,39021,Ohio,2020-06-20T02:12:23.330Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,8,8,7,7,8,12,12,12,14,14,14,14,14,15,14,15,15,16,16,17,18,19,19,21,20,22,23,23,23,23,25,25,26,26,26,26,27,27,27,27,27,28,28,28,28,28,28,29,33,34,35,34,34,34,34,34,35,36,36,37,37,37
Clark,39023,Ohio,2020-06-20T02:12:23.352Z,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,7,6,6,6,7,7,7,8,10,11,13,14,14,18,20,20,20,21,23,25,26,25,26,28,28,29,33,33,43,48,51,57,57,63,67,70,69,71,74,80,90,93,98,104,114,122,131,138,139,148,155,166,178,184,195,206,223,225,231,234,252,277,285,295,298,306,313,323,336,355,371,377,384,400,400,409,409,425,460,502,568,606,606
Clermont,39025,Ohio,2020-06-20T02:12:23.411Z,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,6,6,8,8,9,10,11,14,16,20,21,27,22,27,33,36,41,41,39,44,49,60,66,71,72,72,74,73,76,77,77,76,78,81,88,93,99,101,103,109,110,110,120,122,123,125,125,129,136,144,149,152,152,156,160,167,170,177,181,188,193,197,202,206,206,211,213,215,216,218,219,224,227,232,234,237,236,236,238,238,240,244,252,256,266,266
Clinton,39027,Ohio,2020-06-20T02:12:23.535Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,5,7,7,8,8,9,11,12,15,15,15,16,18,23,23,26,26,26,26,26,26,27,28,28,28,28,29,29,31,31,31,31,31,31,32,33,33,34,35,35,36,37,38,39,39,40,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,47,47,47,48,48,49,52,52,53,53,54,54,54,54,54,54
Columbiana,39029,Ohio,2020-06-20T02:12:23.551Z,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,7,9,11,11,15,19,22,28,36,42,53,59,71,81,92,96,105,114,115,123,136,154,161,167,182,185,195,208,223,223,228,235,247,253,267,274,278,287,292,297,311,313,319,325,336,343,354,367,397,415,420,434,453,457,467,476,477,478,609,657,682,684,739,743,793,875,881,889,891,894,894,896,899,901,903,914,914,917,917,920,921,923,940,954,954
Coshocton,39031,Ohio,2020-06-20T02:12:23.636Z,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,7,8,8,8,9,10,10,10,12,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,19,20,20,19,20,21,22,22,23,24,24,24,26,34,37,38,38,40,40,41,40,45,48,48,48,48,48,48,50,50,51,51,51,52,53,54,56,56
Crawford,39033,Ohio,2020-06-20T02:12:23.662Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,5,5,6,7,7,9,9,9,9,12,13,13,16,17,19,23,26,28,36,41,37,37,36,37,39,39,41,41,45,45,48,50,52,56,57,60,65,69,71,72,77,79,86,89,92,94,94,97,98,101,103,104,104,104,104,106,110,110,110,114,114,115,116,117,118,118,118,120,121,121,121,122,122,122,122,123,123,122,122,122,122
Cuyahoga,39035,Ohio,2020-06-20T02:12:23.696Z,0,3,3,3,6,11,14,24,31,38,53,69,92,125,149,167,206,259,330,370,440,493,527,589,663,780,781,826,871,911,960,1014,1052,1113,1152,1197,1239,1281,1331,1383,1453,1466,1577,1653,1713,1768,1902,1902,1938,1984,2030,2126,2217,2305,2338,2398,2428,2542,2591,2668,2755,2795,2861,2908,2979,3066,3156,3223,3321,3410,3463,3512,3667,3762,3851,3927,3963,4060,4137,4211,4318,4369,4444,4508,4581,4669,4732,4789,4827,4858,4910,4939,5011,5112,5112,5175,5175,5220,5271,5336,5404,5481,5481
Darke,39037,Ohio,2020-06-20T02:12:23.725Z,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,12,13,22,22,26,28,32,32,34,38,40,40,42,45,49,50,52,55,55,55,56,57,58,62,62,75,75,75,75,76,76,76,76,77,77,77,79,79,82,84,84,89,90,93,95,102,111,118,121,126,134,142,146,147,151,153,156,156,162,167,167,170,174,181,184,189,190,191,193,193,194,195,220,220,222,222,222,222,223,227,227,227
Defiance,39039,Ohio,2020-06-20T02:12:23.756Z,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5,5,6,6,6,7,7,8,9,10,10,11,11,11,12,12,12,12,13,13,14,15,15,17,17,19,19,19,20,20,20,20,20,20,20,21,21,21,21,26,26,26,25,25,25,25,25,25,27,28,30,30,32,32,32,32,32,33,33,33,33,34,34,34,34,34,34,35,36,37,38,39,40,40,40,40,40,40,40,40,40,40
Delaware,39041,Ohio,2020-06-20T02:12:23.818Z,0,0,0,0,0,0,0,0,0,1,2,2,4,6,7,11,12,15,20,26,31,38,40,47,50,61,69,70,77,77,79,84,88,89,94,96,99,108,114,119,119,123,122,127,128,132,143,143,148,151,153,160,163,168,175,179,184,190,196,199,211,220,222,232,234,240,241,257,258,263,266,277,280,282,292,296,300,302,302,310,320,331,337,337,340,344,355,360,366,368,369,378,384,389,389,398,398,402,403,403,410,412,412
Erie,39043,Ohio,2020-06-20T02:12:23.839Z,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,5,5,5,5,5,5,6,6,8,10,10,10,10,10,10,10,12,14,16,19,23,27,33,37,37,44,43,46,46,49,52,54,56,56,58,58,60,67,71,75,78,79,80,83,85,86,86,88,97,102,121,124,124,131,133,137,155,157,159,163,165,167,171,172,175,178,182,185,184,184,189,190,191,191,191,191,210,210,213,215,215,215,216,216
Fairfield,39045,Ohio,2020-06-20T02:12:23.872Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,8,14,14,13,14,22,28,32,36,46,54,59,65,68,73,78,81,84,90,92,96,95,97,97,99,101,106,109,114,114,116,121,129,137,138,140,150,152,155,158,162,171,177,177,178,188,191,198,203,203,205,208,215,217,222,229,233,240,240,246,248,251,258,259,267,280,301,310,314,318,321,326,333,336,342,353,353,364,364,370,374,387,392,398,398
Fayette,39047,Ohio,2020-06-20T02:12:23.885Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,5,5,7,9,10,12,12,12,12,13,13,13,13,13,13,13,13,14,15,15,15,16,17,20,20,21,21,23,23,27,26,23,23,23,23,28,30,31,32,31,32,33,34,34,34,37,37,37,39,40,40,40,40,40,40,41,41,42,42,43,43,43,44,44,45,45,45,45,45,45,45,45
Franklin,39049,Ohio,2020-06-20T02:12:23.915Z,0,0,0,0,0,0,0,3,4,7,10,14,21,34,44,75,88,109,152,222,247,281,325,391,441,503,557,597,644,703,761,802,850,894,943,1012,1053,1102,1212,1320,1403,1513,1510,1557,1598,1673,1942,1942,2005,2090,2216,2441,2589,2698,2905,2988,3097,3237,3377,3615,3710,3777,3881,4002,4113,4227,4330,4420,4493,4574,4706,4793,4885,4996,5097,5188,5310,5414,5486,5566,5674,5773,5862,5933,5996,6112,6216,6323,6406,6512,6586,6667,6741,6918,6918,7076,7076,7202,7289,7365,7487,7590,7590
Fulton,39051,Ohio,2020-06-20T02:12:23.921Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,5,5,5,5,5,5,5,6,7,7,7,8,10,13,14,17,16,16,18,18,19,19,19,20,21,22,24,24,24,26,29,30,30,30,30,31,31,32,32,32,34,34,34,35,35,35,35,35,35,36,36,35,36,37,39,40,41,44,44,45,45,45,45,46,50,51,52,52,52,53,53,53,53,53,53,53,53
Gallia,39053,Ohio,2020-06-20T02:12:23.945Z,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,5,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,7,7,7,7,7,7,7,7,9,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Geauga,39055,Ohio,2020-06-20T02:12:23.986Z,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,5,4,7,10,14,17,22,24,25,33,35,38,38,40,41,44,47,49,53,61,68,69,82,92,96,98,100,105,113,117,119,137,137,146,148,153,154,155,159,163,169,172,181,184,187,189,189,191,195,198,206,212,220,220,221,226,231,241,248,250,256,257,258,261,272,277,282,284,286,292,295,300,303,306,309,313,317,327,331,331,334,334,337,342,344,349,353,353
Greene,39057,Ohio,2020-06-20T02:12:23.996Z,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,6,8,8,9,11,13,15,20,21,21,22,24,28,30,31,31,33,33,39,38,39,39,39,40,43,43,45,45,46,46,46,48,48,49,50,50,52,52,53,59,63,67,68,70,73,75,75,78,78,85,86,86,92,93,93,94,98,101,101,101,101,103,102,102,105,106,108,111,114,120,122,132,132,135,135,143,151,150,156,158,158
Guernsey,39059,Ohio,2020-06-20T02:12:24.071Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,5,5,6,6,7,10,10,10,10,11,12,12,15,15,15,15,15,15,15,15,15,16,19,19,19,20,20,20,21,21,21,21,21,22,22,24,24,25,26,28,29,29,30,31,31,32,33,34,34,35,35,36,36,36,38,38,41,42,43,44,44,44,44,44,44,44,44,44,44,44,44
